,name,longitude,latitude,rating,calls
0,Balboa Park,-117.15315009999999,32.73450154,5.0,61
1,Civita Park,-117.147278,32.778315,4.5,34
2,Waterfront Park,-117.1724795,32.721952,4.5,95
3,Trolley Barn Park,-117.14378880000001,32.76246318,4.5,39
4,Bay View Park,-117.17896699999999,32.701785,5.0,0
5,Centrum Park,-117.1383972,32.82803726,3.5,59
6,Presidio Park,-117.195233,32.75671296,4.5,54
7,Kate O Sessions Memorial Park,-117.2398979,32.811316,4.5,14
8,Murray Ridge Neighborhood Park,-117.1480966,32.79131211,4.0,11
9,Olive Grove Park,-117.1715899,32.8274351,4.0,39
10,Lindbergh Neighborhood Park,-117.1628571,32.818649300000004,3.5,30
11,Mission Bay Park,-117.2100178,32.7898749,4.5,21
12,Torrey Hills Park,-117.22257820000002,32.91740319,4.5,9
13,Sunset Cliffs Natural Park,-117.25567,32.73344,5.0,11
14,Pioneer Park,-117.17708119999999,32.74980158,4.0,22
15,Cabrillo Heights Neighborhood Park,-117.148195,32.805591,3.5,34
16,Torrey Meadows Park,-117.1563668,32.96399071,5.0,11
17,Palisades Park,-117.2596208,32.80247293,4.5,61
18,Miramar Overlook Park,-117.102092,32.921110999999996,4.5,1
19,Lake Murray Community Park,-117.044199,32.791992,4.5,4
20,Grantville Neighborhood Park,-117.095375,32.787282,4.0,38
21,Hilltop Park and Recreation Center,-117.118854,32.970904,4.5,7
22,Liberty Station NTC Park,-117.21579550000001,32.73155209,4.5,29
23,Mount Etna Park,-117.191055,32.822281,4.5,14
24,Bird Park,-117.13362,32.741009999999996,4.0,40
25,Mission Heights Neighbourhood Park,-117.1651688,32.7751808,3.5,29
26,Morley Field Sports Complex,-117.13913400000001,32.738615,4.5,30
27,San Carlos Park,-117.0223312,32.797596,5.0,13
28,Calumet Park,-117.26903970000001,32.81040046,4.5,9
29,Linda Vista Community Park,-117.1703149,32.79211464,4.0,25
30,Mountain View Mini Park,-117.12163500000001,32.769042,4.5,19
31,Solana Ranch Park,-117.1928373,32.96658172,5.0,17
32,Mission Valley Off Leash Civita Dog Park,-117.1477757,32.78319927,4.0,5
33,Hoyt Park,-117.09892830000001,32.90505097,4.5,8
34,Heritage Park,-117.193149,32.753962,4.5,52
35,Princess Del Cerro Community Park,-117.06790919999999,32.78849216,4.5,12
36,4S Ranch Community Park,-117.11618259999999,33.0037918,5.0,0
37,Admiral Baker Park,-117.10166399999999,32.795281,3.5,28
38,Shelter Island Shoreline Park,-117.22811000000002,32.71262,4.5,2
39,Allied Gardens Community Park,-117.0795614,32.79573642,4.5,19
40,Scripps Ranch Recreation Center,-117.0797467,32.927614899999995,5.0,5
41,Mira Mesa Community Park,-117.1402689,32.91513437,4.0,30
42,Villa Monserate Park,-117.1072775,32.8357783,3.5,5
43,Harbor Island Park,-117.2090905,32.72516982,4.5,1
44,Golden Hill Park,-117.13725890000002,32.72076408,4.0,56
45,Los Penasquitos Canyon Preserve,-117.12766200000002,32.9371,4.0,6
46,Sri Chinmoy Peace Garden,-117.13680649999999,32.76300711,5.0,39
47,Villa La Jolla Park,-117.2345106,32.85964876,4.5,21
48,Lopez Ridge Park and Meeting Center,-117.168136,32.92084166,4.5,5
49,La Jolla Colony Private Park,-117.2277689,32.86192538,4.5,27
50,Torrey Pines State Reserve,-117.25931499999999,32.92695,4.5,1
51,Torrey Pines State Beach,-117.249569,32.916577000000004,4.5,0
52,Cabrillo National Monument,-117.239526,32.674889,4.5,1
53,Maple Canyon Trail,-117.16221029999998,32.73712585,4.0,93
54,Point Loma Tide Pools,-117.24435159999999,32.66803236,4.5,0
55,La Jolla Cove,-117.2728988,32.85045528,4.5,22
56,SDSU Centennial Plaza,-117.06983000000001,32.774630699999996,5.0,35
57,Mount Soledad National Veterans Memorial,-117.2446758,32.83981758,5.0,9
58,Scripps Coastal Reserve,-117.24551340000001,32.87667989,4.5,5
59,Black Mountain Open Space Park,-117.1263962,32.93907928,4.0,4
60,Air Force Recruiting Office,-117.11384,32.91633,4.5,39
61,Fort Rosecrans National Cemetery,-117.2451679,32.68875413,5.0,0
62,The Children's Park,-117.16685149999999,32.7105488,3.0,319
63,Tweet Street Park,-117.15658,32.72296,4.5,205
